,mass,ctau_for_eps10em2,ctau_for_eps10em4,ctau_for_eps10em6,ctau_for_eps10em8,br_zdtosm
2573,25950,4.098615023905209e-12,4.098615023905209e-08,0.000409861502390521,4.09861502390521,0.1414883638852512
2574,25960,4.096910266930725e-12,4.096910266930725e-08,0.0004096910266930725,4.096910266930725,0.1414847734495782
2575,25970,4.095206806440451e-12,4.095206806440451e-08,0.0004095206806440452,4.095206806440451,0.14148118297108142
2576,25980,4.0935046409197865e-12,4.093504640919786e-08,0.00040935046409197866,4.093504640919786,0.14147759244950872
2577,25990,4.091803768856451e-12,4.09180376885645e-08,0.0004091803768856451,4.091803768856451,0.14147400188460774
2578,26000,4.090104188740465e-12,4.090104188740464e-08,0.00040901041887404647,4.090104188740463,0.14147041127612595
2579,26010,4.088404076584728e-12,4.088404076584728e-08,0.0004088404076584728,4.0884040765847285,0.1414667575624661
2580,26020,4.086705254970362e-12,4.0867052549703625e-08,0.0004086705254970362,4.086705254970363,0.14146310381117855
2581,26030,4.08500772239248e-12,4.0850077223924786e-08,0.000408500772239248,4.08500772239248,0.14145945002201032
2582,26040,4.083311477348487e-12,4.083311477348487e-08,0.00040833114773484866,4.083311477348487,0.14145579619470813
2583,26050,4.081616518338075e-12,4.0816165183380756e-08,0.0004081616518338076,4.081616518338076,0.14145214232901862
2584,26060,4.079922843863248e-12,4.0799228438632485e-08,0.0004079922843863248,4.079922843863248,0.14144848842468838
2585,26070,4.078230452428272e-12,4.078230452428272e-08,0.0004078230452428272,4.078230452428272,0.14144483448146375
2586,26080,4.076539342539712e-12,4.076539342539712e-08,0.0004076539342539711,4.076539342539712,0.1414411804990909
2587,26090,4.074849512706394e-12,4.074849512706394e-08,0.00040748495127063947,4.074849512706393,0.141437526477316
2588,26100,4.073160961439434e-12,4.073160961439434e-08,0.00040731609614394335,4.0731609614394335,0.14143387241588504
2589,26110,4.071473687252199e-12,4.0714736872522e-08,0.00040714736872522,4.0714736872522,0.14143021831454375
2590,26120,4.069787688660339e-12,4.0697876886603393e-08,0.00040697876886603394,4.06978768866034,0.1414265641730379
2591,26130,4.0681029641817455e-12,4.0681029641817456e-08,0.0004068102964181745,4.0681029641817466,0.14142290999111296
2592,26140,4.066419512336573e-12,4.0664195123365735e-08,0.0004066419512336574,4.066419512336574,0.1414192557685143
2593,26150,4.064737331647232e-12,4.0647373316472324e-08,0.0004064737331647233,4.064737331647232,0.14141560150498725
2594,26160,4.063056420638367e-12,4.063056420638367e-08,0.0004063056420638367,4.063056420638366,0.14141194720027686
2595,26170,4.061376777836875e-12,4.061376777836875e-08,0.00040613767778368767,4.061376777836877,0.14140829285412812
2596,26180,4.059698401771891e-12,4.059698401771891e-08,0.00040596984017718905,4.059698401771891,0.14140463846628587
2597,26190,4.058021290974773e-12,4.0580212909747735e-08,0.00040580212909747737,4.058021290974773,0.14140098403649473
2598,26200,4.0563454439791215e-12,4.056345443979122e-08,0.00040563454439791226,4.056345443979122,0.14139732956449932
2599,26210,4.054669483954141e-12,4.054669483954141e-08,0.00040546694839541423,4.054669483954141,0.14139362708853329
2600,26220,4.05299478601169e-12,4.0529947860116906e-08,0.00040529947860116914,4.052994786011691,0.14138992457484265
2601,26230,4.05132134869065e-12,4.05132134869065e-08,0.0004051321348690649,4.0513213486906485,0.1413862220231714
2602,26240,4.0496491705321295e-12,4.0496491705321286e-08,0.00040496491705321294,4.0496491705321285,0.14138251943326333
2603,26250,4.0479782500794385e-12,4.047978250079438e-08,0.0004047978250079438,4.047978250079439,0.14137881680486222
2604,26260,4.046308585878093e-12,4.0463085858780944e-08,0.0004046308585878095,4.046308585878094,0.14137511413771164
2605,26270,4.0446401764758135e-12,4.044640176475815e-08,0.0004044640176475815,4.0446401764758155,0.14137141143155496
2606,26280,4.042973020422522e-12,4.0429730204225214e-08,0.0004042973020422521,4.042973020422521,0.1413677086861354
2607,26290,4.041307116270323e-12,4.041307116270325e-08,0.00040413071162703247,4.041307116270324,0.14136400590119627
2608,26300,4.039642462573522e-12,4.0396424625735216e-08,0.00040396424625735217,4.039642462573521,0.14136030307648031
2609,26310,4.0379790578886006e-12,4.0379790578886014e-08,0.00040379790578886016,4.0379790578886015,0.1413566002117305
2610,26320,4.036316900774229e-12,4.0363169007742285e-08,0.0004036316900774229,4.03631690077423,0.1413528973066895
